,__logger_started__,_checkpoint,_cmp_greater,_nonjson_fields,best_checkpoint_attr_value,best_result,checkpoint_at_end,checkpoint_freq,checkpoint_score_attr,config:dropout,config:hidden_size,config:l1_reg,config:l2_reg,config:num_layers,config:opt_batch_per_epoch,config:ssipp_teacher_heuristic,config:supervised_batch_size,config:target_rollouts_per_epoch,coverage,custom_trial_name,date,done,dropout,episodes_total,error_file,experiment_id,experiment_tag,export_formats,extra_arg,hidden_size,history,hostname,iterations_since_restore,keep_checkpoints_num,l1_reg,l2_reg,last_debug,last_update_time,local_dir,logdir,loggers,max_failures,node_ip,num_failures,num_layers,opt_batch_per_epoch,param_config,pid,resources:cpu,resources:extra_cpu,resources:extra_gpu,resources:gpu,result_logger,results,runner,ssipp_teacher_heuristic,status,supervised_batch_size,sync_function,target_rollouts_per_epoch,time_since_restore,time_this_iter_s,time_total_s,timestamp,timesteps_since_restore,timesteps_total,trainable_name,training_iteration,trial_id,upload_dir,verbose
0,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,31.0,0.255027609580881,0.21287079493560526,2.0,1256.0,h-add,49.0,150.0,0.0,,2019-07-07_21-09-28,True,0.0,,,bf5448f2602c47b780fc5fadfbd6dfa2,"1_dropout=0,hidden_size=31,l1_reg=0.25503,l2_reg=0.21287,num_layers=2,opt_batch_per_epoch=1256,ssipp_teacher_heuristic=h-add,supervised_batch_size=49,target_rollouts_per_epoch=150",[],80049502000000000000004e2e,31,[],astar,1.0,,0.255027609580881,0.21287079493560526,1562558968.4365056,1562558968.436508,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_1_dropout=0,hidden_size=31,l1_reg=0.25503,l2_reg=0.21287,num_layers=2,opt_batch_per_epoch=1256,ssipp_teacher_heurist_2019-07-07_18-07-16xu5k1fyd",80049502000000000000004e2e,3,169.229.222.160,0,2,1256,80049502000000000000004e2e,363.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,49,80049502000000000000004e2e,150,10931.496410131454,10931.496410131454,10931.496410131454,1562558968.0,0.0,,perform_trial,1.0,b9eac86c,,True
1,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,7.0,0.009180101329106741,0.04641324035188401,3.0,696.0,lm-cut,63.0,43.0,0.0,,2019-07-07_21-20-59,True,0.5,,,78f36691bac4460b99889d41ac88d144,"2_dropout=0.5,hidden_size=7,l1_reg=0.0091801,l2_reg=0.046413,num_layers=3,opt_batch_per_epoch=696,ssipp_teacher_heuristic=lm-cut,supervised_batch_size=63,target_rollouts_per_epoch=43",[],80049502000000000000004e2e,7,[],astar,1.0,,0.009180101329106741,0.04641324035188401,1562559659.5572152,1562559659.5572171,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_2_dropout=0.5,hidden_size=7,l1_reg=0.0091801,l2_reg=0.046413,num_layers=3,opt_batch_per_epoch=696,ssipp_teacher_heur_2019-07-07_18-07-16_pr_93t1",80049502000000000000004e2e,3,169.229.222.160,0,3,696,80049502000000000000004e2e,358.0,0,0,0,0,,80049502000000000000004e2e,,lm-cut,TERMINATED,63,80049502000000000000004e2e,43,11622.617743730545,11622.617743730545,11622.617743730545,1562559659.0,0.0,,perform_trial,1.0,b9eac86d,,True
2,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,5.0,4.148488825142598e-09,6.37025021364897e-05,2.0,1998.0,h-add,101.0,44.0,0.14888888888888888,,2019-07-07_20-35-31,True,0.0,,,8e54bbe3e1724cc9a78bfdadd9c9e7f5,"3_dropout=0,hidden_size=5,l1_reg=4.1485e-09,l2_reg=6.3703e-05,num_layers=2,opt_batch_per_epoch=1998,ssipp_teacher_heuristic=h-add,supervised_batch_size=101,target_rollouts_per_epoch=44",[],80049502000000000000004e2e,5,[],astar,1.0,,4.148488825142598e-09,6.37025021364897e-05,1562556931.4144995,1562556931.4145036,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_3_dropout=0,hidden_size=5,l1_reg=4.1485e-09,l2_reg=6.3703e-05,num_layers=2,opt_batch_per_epoch=1998,ssipp_teacher_he_2019-07-07_18-07-16wdkj8wpo",80049502000000000000004e2e,3,169.229.222.160,0,2,1998,80049502000000000000004e2e,332.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,101,80049502000000000000004e2e,44,8894.444876909256,8894.444876909256,8894.444876909256,1562556931.0,0.0,,perform_trial,1.0,b9eac86e,,True
3,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,6.0,3.3324644530201356e-06,0.00010290659977124006,1.0,1173.0,lm-cut,80.0,103.0,0.10111111111111111,,2019-07-07_20-52-54,True,0.1,,,ee23c09a93cb4f8fadd82737476e9829,"4_dropout=0.1,hidden_size=6,l1_reg=3.3325e-06,l2_reg=0.00010291,num_layers=1,opt_batch_per_epoch=1173,ssipp_teacher_heuristic=lm-cut,supervised_batch_size=80,target_rollouts_per_epoch=103",[],80049502000000000000004e2e,6,[],astar,1.0,,3.3324644530201356e-06,0.00010290659977124006,1562557974.7448611,1562557974.744864,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_4_dropout=0.1,hidden_size=6,l1_reg=3.3325e-06,l2_reg=0.00010291,num_layers=1,opt_batch_per_epoch=1173,ssipp_teacher__2019-07-07_18-07-16ve79cduy",80049502000000000000004e2e,3,169.229.222.160,0,1,1173,80049502000000000000004e2e,335.0,0,0,0,0,,80049502000000000000004e2e,,lm-cut,TERMINATED,80,80049502000000000000004e2e,103,9937.786457061768,9937.786457061768,9937.786457061768,1562557974.0,0.0,,perform_trial,1.0,b9eac86f,,True
4,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,14.0,0.00473039773902484,0.0031997227049140576,3.0,1891.0,h-add,66.0,39.0,0.10222222222222221,,2019-07-07_23-37-07,True,0.0,,,3425a7307b9442a18235f325b2c9201f,"5_dropout=0,hidden_size=14,l1_reg=0.0047304,l2_reg=0.0031997,num_layers=3,opt_batch_per_epoch=1891,ssipp_teacher_heuristic=h-add,supervised_batch_size=66,target_rollouts_per_epoch=39",[],80049502000000000000004e2e,14,[],astar,1.0,,0.00473039773902484,0.0031997227049140576,1562567827.3631785,1562567827.3631845,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_5_dropout=0,hidden_size=14,l1_reg=0.0047304,l2_reg=0.0031997,num_layers=3,opt_batch_per_epoch=1891,ssipp_teacher_heu_2019-07-07_20-35-31_u3jjyz2",80049502000000000000004e2e,3,169.229.222.160,0,3,1891,80049502000000000000004e2e,26521.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,66,80049502000000000000004e2e,39,10894.685668230057,10894.685668230057,10894.685668230057,1562567827.0,0.0,,perform_trial,1.0,b9eac870,,True
5,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,8.0,0.5459598049371028,0.08084330354036608,2.0,869.0,h-add,66.0,45.0,0.0,,2019-07-07_23-50-23,True,0.1,,,d6e734a498674a2aa4d8e213ae9d23fd,"6_dropout=0.1,hidden_size=8,l1_reg=0.54596,l2_reg=0.080843,num_layers=2,opt_batch_per_epoch=869,ssipp_teacher_heuristic=h-add,supervised_batch_size=66,target_rollouts_per_epoch=45",[],80049502000000000000004e2e,8,[],astar,1.0,,0.5459598049371028,0.08084330354036608,1562568623.900252,1562568623.9002552,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_6_dropout=0.1,hidden_size=8,l1_reg=0.54596,l2_reg=0.080843,num_layers=2,opt_batch_per_epoch=869,ssipp_teacher_heuris_2019-07-07_20-52-54dym8x2v9",80049502000000000000004e2e,3,169.229.222.160,0,2,869,80049502000000000000004e2e,25945.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,66,80049502000000000000004e2e,45,10647.90733575821,10647.90733575821,10647.90733575821,1562568623.0,0.0,,perform_trial,1.0,6fe9cd3e,,True
6,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,14.0,2.936465921022637e-08,0.40077634017963576,3.0,1784.0,h-add,123.0,85.0,0.0,,2019-07-08_00-06-56,True,0.0,,,f65b25cf4ff54d86b538bc1524805045,"7_dropout=0,hidden_size=14,l1_reg=2.9365e-08,l2_reg=0.40078,num_layers=3,opt_batch_per_epoch=1784,ssipp_teacher_heuristic=h-add,supervised_batch_size=123,target_rollouts_per_epoch=85",[],80049502000000000000004e2e,14,[],astar,1.0,,2.936465921022637e-08,0.40077634017963576,1562569616.5567524,1562569616.556754,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_7_dropout=0,hidden_size=14,l1_reg=2.9365e-08,l2_reg=0.40078,num_layers=3,opt_batch_per_epoch=1784,ssipp_teacher_heur_2019-07-07_21-09-2825_vc3xr",80049502000000000000004e2e,3,169.229.222.160,0,3,1784,80049502000000000000004e2e,377.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,123,80049502000000000000004e2e,85,10648.00986790657,10648.00986790657,10648.00986790657,1562569616.0,0.0,,perform_trial,1.0,ddce16dc,,True
7,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,24.0,0.007192280606882304,0.002577545316657056,2.0,1497.0,h-add,100.0,40.0,0.0,,2019-07-08_00-15-12,True,0.5,,,9ab5fd829a984cf6a42103b807f66f16,"8_dropout=0.5,hidden_size=24,l1_reg=0.0071923,l2_reg=0.0025775,num_layers=2,opt_batch_per_epoch=1497,ssipp_teacher_heuristic=h-add,supervised_batch_size=100,target_rollouts_per_epoch=40",[],80049502000000000000004e2e,24,[],astar,1.0,,0.007192280606882304,0.002577545316657056,1562570112.8035693,1562570112.803571,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_8_dropout=0.5,hidden_size=24,l1_reg=0.0071923,l2_reg=0.0025775,num_layers=2,opt_batch_per_epoch=1497,ssipp_teacher_h_2019-07-07_21-20-59adnpoikb",80049502000000000000004e2e,3,169.229.222.160,0,2,1497,80049502000000000000004e2e,366.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,100,80049502000000000000004e2e,40,10453.149295330048,10453.149295330048,10453.149295330048,1562570112.0,0.0,,perform_trial,1.0,2e0e197e,,True
8,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,30.0,1.7524487037970094e-05,0.024605046513753493,2.0,1152.0,lm-cut,120.0,62.0,0.06111111111111112,,2019-07-08_02-33-17,True,0.5,,,7dae0877767941a0abdb28e88f732bd3,"9_dropout=0.5,hidden_size=30,l1_reg=1.7524e-05,l2_reg=0.024605,num_layers=2,opt_batch_per_epoch=1152,ssipp_teacher_heuristic=lm-cut,supervised_batch_size=120,target_rollouts_per_epoch=62",[],80049502000000000000004e2e,30,[],astar,1.0,,1.7524487037970094e-05,0.024605046513753493,1562578397.9024305,1562578397.9024343,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_9_dropout=0.5,hidden_size=30,l1_reg=1.7524e-05,l2_reg=0.024605,num_layers=2,opt_batch_per_epoch=1152,ssipp_teacher_h_2019-07-07_23-37-07wzr5hnbn",80049502000000000000004e2e,3,169.229.222.160,0,2,1152,80049502000000000000004e2e,370.0,0,0,0,0,,80049502000000000000004e2e,,lm-cut,TERMINATED,120,80049502000000000000004e2e,62,10570.07774400711,10570.07774400711,10570.07774400711,1562578397.0,0.0,,perform_trial,1.0,c9feaa46,,True
9,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,21.0,5.612739597644901e-05,1.158411722412597e-05,2.0,1675.0,lm-cut,33.0,101.0,0.12333333333333334,,2019-07-08_02-45-31,True,0.1,,,dd4cd0aa126f4cadbf4fbc58154cd522,"10_dropout=0.1,hidden_size=21,l1_reg=5.6127e-05,l2_reg=1.1584e-05,num_layers=2,opt_batch_per_epoch=1675,ssipp_teacher_heuristic=lm-cut,supervised_batch_size=33,target_rollouts_per_epoch=101",[],80049502000000000000004e2e,21,[],astar,1.0,,5.612739597644901e-05,1.158411722412597e-05,1562579131.070318,1562579131.0703223,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_10_dropout=0.1,hidden_size=21,l1_reg=5.6127e-05,l2_reg=1.1584e-05,num_layers=2,opt_batch_per_epoch=1675,ssipp_teache_2019-07-07_23-50-23otaedoc6",80049502000000000000004e2e,3,169.229.222.160,0,2,1675,80049502000000000000004e2e,25937.0,0,0,0,0,,80049502000000000000004e2e,,lm-cut,TERMINATED,33,80049502000000000000004e2e,101,10505.902775526047,10505.902775526047,10505.902775526047,1562579131.0,0.0,,perform_trial,1.0,ce67f44e,,True
10,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,18.0,3.229136601100512e-05,0.0019067246045035104,1.0,268.0,h-add,112.0,34.0,0.11,,2019-07-08_03-00-15,True,0.1,,,b68c4a1309a146d99080b5e085b4e475,"11_dropout=0.1,hidden_size=18,l1_reg=3.2291e-05,l2_reg=0.0019067,num_layers=1,opt_batch_per_epoch=268,ssipp_teacher_heuristic=h-add,supervised_batch_size=112,target_rollouts_per_epoch=34",[],80049502000000000000004e2e,18,[],astar,1.0,,3.229136601100512e-05,0.0019067246045035104,1562580015.1942115,1562580015.1942132,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_11_dropout=0.1,hidden_size=18,l1_reg=3.2291e-05,l2_reg=0.0019067,num_layers=1,opt_batch_per_epoch=268,ssipp_teacher__2019-07-08_00-06-56hx4jf77g",80049502000000000000004e2e,3,169.229.222.160,0,1,268,80049502000000000000004e2e,25056.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,112,80049502000000000000004e2e,34,10398.475756406784,10398.475756406784,10398.475756406784,1562580015.0,0.0,,perform_trial,1.0,a9320d52,,True
11,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,9.0,0.0991405085961735,0.08088049718204166,3.0,1625.0,lm-cut,110.0,35.0,0.0,,2019-07-08_03-11-52,True,0.0,,,ac4bb40444284fe2b1a341ab6c92eae7,"12_dropout=0,hidden_size=9,l1_reg=0.099141,l2_reg=0.08088,num_layers=3,opt_batch_per_epoch=1625,ssipp_teacher_heuristic=lm-cut,supervised_batch_size=110,target_rollouts_per_epoch=35",[],80049502000000000000004e2e,9,[],astar,1.0,,0.0991405085961735,0.08088049718204166,1562580712.8954759,1562580712.8954773,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_12_dropout=0,hidden_size=9,l1_reg=0.099141,l2_reg=0.08088,num_layers=3,opt_batch_per_epoch=1625,ssipp_teacher_heuris_2019-07-08_00-15-12qhpv2ow9",80049502000000000000004e2e,3,169.229.222.160,0,3,1625,80049502000000000000004e2e,371.0,0,0,0,0,,80049502000000000000004e2e,,lm-cut,TERMINATED,110,80049502000000000000004e2e,35,10599.99100279808,10599.99100279808,10599.99100279808,1562580712.0,0.0,,perform_trial,1.0,f8d50b32,,True
12,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,,0.1,,,,"13_dropout=0.1,hidden_size=16,l1_reg=0.00022723,l2_reg=0.0052092,num_layers=3,opt_batch_per_epoch=1790,ssipp_teacher_heuristic=lm-cut,supervised_batch_size=59,target_rollouts_per_epoch=47",[],80049502000000000000004e2e,16,[],,,,0.000227230065980183,0.005209161854395368,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_13_dropout=0.1,hidden_size=16,l1_reg=0.00022723,l2_reg=0.0052092,num_layers=3,opt_batch_per_epoch=1790,ssipp_teacher_2019-07-08_02-33-17xxn_33q2",80049502000000000000004e2e,3,,0,3,1790,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,lm-cut,ERROR,59,80049502000000000000004e2e,47,,,,,,,perform_trial,,209e16b2,,True
13,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,18.0,0.0019482936596465642,0.00030610087820975135,2.0,1735.0,h-add,32.0,27.0,0.16000000000000003,,2019-07-08_05-23-22,True,0.0,,,c63a33b7561a4d45a9cd28e124d71f62,"14_dropout=0,hidden_size=18,l1_reg=0.0019483,l2_reg=0.0003061,num_layers=2,opt_batch_per_epoch=1735,ssipp_teacher_heuristic=h-add,supervised_batch_size=32,target_rollouts_per_epoch=27",[],80049502000000000000004e2e,18,[],astar,1.0,,0.0019482936596465642,0.00030610087820975135,1562588602.5135067,1562588602.5135098,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_14_dropout=0,hidden_size=18,l1_reg=0.0019483,l2_reg=0.0003061,num_layers=2,opt_batch_per_epoch=1735,ssipp_teacher_he_2019-07-08_02-45-321yfgmz0d",80049502000000000000004e2e,3,169.229.222.160,0,2,1735,80049502000000000000004e2e,25936.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,32,80049502000000000000004e2e,27,9468.988768815994,9468.988768815994,9468.988768815994,1562588602.0,0.0,,perform_trial,1.0,6af2d3b6,,True
14,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,18.0,0.0019482936596465642,0.00030610087820975135,2.0,1735.0,h-add,32.0,27.0,0.1822222222222222,,2019-07-08_05-39-54,True,0.0,,,52359c5a4aa241f3aee279e982318897,"15_dropout=0,hidden_size=18,l1_reg=0.0019483,l2_reg=0.0003061,num_layers=2,opt_batch_per_epoch=1735,ssipp_teacher_heuristic=h-add,supervised_batch_size=32,target_rollouts_per_epoch=27",[],80049502000000000000004e2e,18,[],astar,1.0,,0.0019482936596465642,0.00030610087820975135,1562589594.8138914,1562589594.8138945,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_15_dropout=0,hidden_size=18,l1_reg=0.0019483,l2_reg=0.0003061,num_layers=2,opt_batch_per_epoch=1735,ssipp_teacher_he_2019-07-08_02-53-23bor3_vsy",80049502000000000000004e2e,3,169.229.222.160,0,2,1735,80049502000000000000004e2e,26554.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,32,80049502000000000000004e2e,27,9990.83650970459,9990.83650970459,9990.83650970459,1562589594.0,0.0,,perform_trial,1.0,20c42b1c,,True
15,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,12.0,0.9901014431530859,3.433822195828845e-05,1.0,1733.0,lm-cut,41.0,14.0,0.0,,2019-07-08_05-54-13,True,0.1,,,8b9fa8e87c2741b8af600d269edac35d,"16_dropout=0.1,hidden_size=12,l1_reg=0.9901,l2_reg=3.4338e-05,num_layers=1,opt_batch_per_epoch=1733,ssipp_teacher_heuristic=lm-cut,supervised_batch_size=41,target_rollouts_per_epoch=14",[],80049502000000000000004e2e,12,[],astar,1.0,,0.9901014431530859,3.433822195828845e-05,1562590453.3452458,1562590453.345248,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_16_dropout=0.1,hidden_size=12,l1_reg=0.9901,l2_reg=3.4338e-05,num_layers=1,opt_batch_per_epoch=1733,ssipp_teacher_he_2019-07-08_03-00-15zeiao5m2",80049502000000000000004e2e,3,169.229.222.160,0,1,1733,80049502000000000000004e2e,25949.0,0,0,0,0,,80049502000000000000004e2e,,lm-cut,TERMINATED,41,80049502000000000000004e2e,14,10437.651945829391,10437.651945829391,10437.651945829391,1562590453.0,0.0,,perform_trial,1.0,397eb162,,True
16,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,10.0,0.00513730282932406,0.00022172169225765617,3.0,1813.0,h-add,47.0,33.0,0.051111111111111114,,2019-07-08_06-05-56,True,0.1,,,3459eb76471048ef83c89036d46b25ec,"17_dropout=0.1,hidden_size=10,l1_reg=0.0051373,l2_reg=0.00022172,num_layers=3,opt_batch_per_epoch=1813,ssipp_teacher_heuristic=h-add,supervised_batch_size=47,target_rollouts_per_epoch=33",[],80049502000000000000004e2e,10,[],astar,1.0,,0.00513730282932406,0.00022172169225765617,1562591156.8048918,1562591156.8048933,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_17_dropout=0.1,hidden_size=10,l1_reg=0.0051373,l2_reg=0.00022172,num_layers=3,opt_batch_per_epoch=1813,ssipp_teacher_2019-07-08_03-11-53sbvh86u4",80049502000000000000004e2e,3,169.229.222.160,0,3,1813,80049502000000000000004e2e,25058.0,0,0,0,0,,80049502000000000000004e2e,,h-add,TERMINATED,47,80049502000000000000004e2e,33,10443.494262933731,10443.494262933731,10443.494262933731,1562591156.0,0.0,,perform_trial,1.0,2f1934e4,,True
