,__logger_started__,_checkpoint,_cmp_greater,_nonjson_fields,best_checkpoint_attr_value,best_result,checkpoint_at_end,checkpoint_freq,checkpoint_score_attr,config:dropout,config:hidden_size,config:l1_reg,config:l2_reg,config:num_layers,config:opt_batch_per_epoch,config:supervised_batch_size,config:target_rollouts_per_epoch,coverage,custom_trial_name,date,done,dropout,episodes_total,error_file,experiment_id,experiment_tag,export_formats,extra_arg,hidden_size,history,hostname,iterations_since_restore,keep_checkpoints_num,l1_reg,l2_reg,last_debug,last_update_time,local_dir,logdir,loggers,max_failures,node_ip,num_failures,num_layers,opt_batch_per_epoch,param_config,pid,resources:cpu,resources:extra_cpu,resources:extra_gpu,resources:gpu,result_logger,results,runner,status,supervised_batch_size,sync_function,target_rollouts_per_epoch,time_since_restore,time_this_iter_s,time_total_s,timestamp,timesteps_since_restore,timesteps_total,trainable_name,training_iteration,trial_id,upload_dir,verbose
26,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.1,,,,"27_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_batch_size=115,target_rollouts_per_epoch=115",[],80049502000000000000004e2e,9,[],,,,3.2522419018183166e-10,0.000565163125417069,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_27_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_bat_2019-07-08_18-09-18uxoy_7v3",80049502000000000000004e2e,3,,0,2,262,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,115,80049502000000000000004e2e,115,,,,,,,perform_trial,,f2981476,,True
27,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,9.0,3.2522419018183166e-10,0.000565163125417069,2.0,262.0,115.0,115.0,0.7619047619047619,,2019-07-08_20-13-24,True,0.1,,,e1ac26db449547d1bc7f4b3c167607c6,"28_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_batch_size=115,target_rollouts_per_epoch=115",[],80049502000000000000004e2e,9,[],svm,1.0,,3.2522419018183166e-10,0.000565163125417069,1562642004.9393115,1562642004.9393277,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_28_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_bat_2019-07-08_18-09-397kcnbum7",80049502000000000000004e2e,3,169.229.222.181,0,2,262,80049502000000000000004e2e,62432.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,115,80049502000000000000004e2e,115,7425.508384466171,7425.508384466171,7425.508384466171,1562642004.0,0.0,,perform_trial,1.0,2cf31796,,True
28,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.1,,,,"29_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_batch_size=115,target_rollouts_per_epoch=115",[],80049502000000000000004e2e,9,[],,,,3.2522419018183166e-10,0.000565163125417069,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_29_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_bat_2019-07-08_18-10-32gswxkoc1",80049502000000000000004e2e,3,,0,2,262,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,115,80049502000000000000004e2e,115,,,,,,,perform_trial,,3983b66e,,True
29,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.1,,,,"30_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_batch_size=115,target_rollouts_per_epoch=115",[],80049502000000000000004e2e,9,[],,,,3.2522419018183166e-10,0.000565163125417069,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_30_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_bat_2019-07-08_18-10-37xw91df39",80049502000000000000004e2e,3,,0,2,262,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,115,80049502000000000000004e2e,115,,,,,,,perform_trial,,591d8a68,,True
30,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,9.0,3.2522419018183166e-10,0.000565163125417069,2.0,262.0,115.0,115.0,0.8571428571428571,,2019-07-08_20-14-54,True,0.1,,,8a090bf49ab0431ba30202f5fdab76dd,"31_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_batch_size=115,target_rollouts_per_epoch=115",[],80049502000000000000004e2e,9,[],svm,1.0,,3.2522419018183166e-10,0.000565163125417069,1562642094.4325476,1562642094.4325502,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_31_dropout=0.1,hidden_size=9,l1_reg=3.2522e-10,l2_reg=0.00056516,num_layers=2,opt_batch_per_epoch=262,supervised_bat_2019-07-08_18-10-42ht0n22mh",80049502000000000000004e2e,3,169.229.222.181,0,2,262,80049502000000000000004e2e,59553.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,115,80049502000000000000004e2e,115,7450.522895812988,7450.522895812988,7450.522895812988,1562642094.0,0.0,,perform_trial,1.0,5c6a84a0,,True
31,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"32_dropout=0,hidden_size=12,l1_reg=2.1006e-09,l2_reg=0.49967,num_layers=3,opt_batch_per_epoch=1793,supervised_batch_size=107,target_rollouts_per_epoch=114",[],80049502000000000000004e2e,12,[],,,,2.100599217524535e-09,0.49966602722068365,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_32_dropout=0,hidden_size=12,l1_reg=2.1006e-09,l2_reg=0.49967,num_layers=3,opt_batch_per_epoch=1793,supervised_batch__2019-07-08_18-11-344qcmue7s",80049502000000000000004e2e,3,,0,3,1793,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,107,80049502000000000000004e2e,114,,,,,,,perform_trial,,5f89c8bc,,True
32,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"33_dropout=0,hidden_size=4,l1_reg=2.8041e-10,l2_reg=1.8401e-05,num_layers=2,opt_batch_per_epoch=1967,supervised_batch_size=127,target_rollouts_per_epoch=115",[],80049502000000000000004e2e,4,[],,,,2.8041448128383567e-10,1.8400918552337013e-05,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_33_dropout=0,hidden_size=4,l1_reg=2.8041e-10,l2_reg=1.8401e-05,num_layers=2,opt_batch_per_epoch=1967,supervised_batc_2019-07-08_18-15-05ha4ueann",80049502000000000000004e2e,3,,0,2,1967,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,127,80049502000000000000004e2e,115,,,,,,,perform_trial,,7e6e7b7e,,True
33,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.1,,,,"34_dropout=0.1,hidden_size=7,l1_reg=1.4374e-08,l2_reg=0.00037923,num_layers=2,opt_batch_per_epoch=211,supervised_batch_size=65,target_rollouts_per_epoch=143",[],80049502000000000000004e2e,7,[],,,,1.4373838158964212e-08,0.0003792305925015724,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_34_dropout=0.1,hidden_size=7,l1_reg=1.4374e-08,l2_reg=0.00037923,num_layers=2,opt_batch_per_epoch=211,supervised_bat_2019-07-08_18-15-21bfqgdcbn",80049502000000000000004e2e,3,,0,2,211,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,65,80049502000000000000004e2e,143,,,,,,,perform_trial,,fc32a30a,,True
34,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.25,,,,"35_dropout=0.25,hidden_size=20,l1_reg=6.5817e-10,l2_reg=1.8743e-05,num_layers=3,opt_batch_per_epoch=1974,supervised_batch_size=128,target_rollouts_per_epoch=121",[],80049502000000000000004e2e,20,[],,,,6.581734745491055e-10,1.874309547471703e-05,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_35_dropout=0.25,hidden_size=20,l1_reg=6.5817e-10,l2_reg=1.8743e-05,num_layers=3,opt_batch_per_epoch=1974,supervised__2019-07-08_18-15-26qhufyq5k",80049502000000000000004e2e,3,,0,3,1974,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,128,80049502000000000000004e2e,121,,,,,,,perform_trial,,059cd3fc,,True
35,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"36_dropout=0,hidden_size=32,l1_reg=1.4403e-09,l2_reg=0.00011684,num_layers=2,opt_batch_per_epoch=1910,supervised_batch_size=42,target_rollouts_per_epoch=104",[],80049502000000000000004e2e,32,[],,,,1.4403382748096391e-09,0.00011683634515684427,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_36_dropout=0,hidden_size=32,l1_reg=1.4403e-09,l2_reg=0.00011684,num_layers=2,opt_batch_per_epoch=1910,supervised_bat_2019-07-08_18-16-0266n9ik6r",80049502000000000000004e2e,3,,0,2,1910,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,42,80049502000000000000004e2e,104,,,,,,,perform_trial,,085641b4,,True
36,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.1,,,,"37_dropout=0.1,hidden_size=22,l1_reg=4.661e-09,l2_reg=0.00098843,num_layers=2,opt_batch_per_epoch=1002,supervised_batch_size=53,target_rollouts_per_epoch=140",[],80049502000000000000004e2e,22,[],,,,4.660968829987365e-09,0.0009884302072859245,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_37_dropout=0.1,hidden_size=22,l1_reg=4.661e-09,l2_reg=0.00098843,num_layers=2,opt_batch_per_epoch=1002,supervised_ba_2019-07-08_18-16-34x4lwq_cf",80049502000000000000004e2e,3,,0,2,1002,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,53,80049502000000000000004e2e,140,,,,,,,perform_trial,,1e1ce4a8,,True
37,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.5,,,,"38_dropout=0.5,hidden_size=10,l1_reg=5.181e-10,l2_reg=0.0020899,num_layers=2,opt_batch_per_epoch=111,supervised_batch_size=86,target_rollouts_per_epoch=112",[],80049502000000000000004e2e,10,[],,,,5.18097886892475e-10,0.00208988502395212,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_38_dropout=0.5,hidden_size=10,l1_reg=5.181e-10,l2_reg=0.0020899,num_layers=2,opt_batch_per_epoch=111,supervised_batc_2019-07-08_18-17-5627l_a0g2",80049502000000000000004e2e,3,,0,2,111,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,86,80049502000000000000004e2e,112,,,,,,,perform_trial,,315229f2,,True
38,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.5,,,,"39_dropout=0.5,hidden_size=6,l1_reg=1.0201e-09,l2_reg=4.0822e-05,num_layers=2,opt_batch_per_epoch=608,supervised_batch_size=109,target_rollouts_per_epoch=127",[],80049502000000000000004e2e,6,[],,,,1.0200876339619506e-09,4.082198620625269e-05,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_39_dropout=0.5,hidden_size=6,l1_reg=1.0201e-09,l2_reg=4.0822e-05,num_layers=2,opt_batch_per_epoch=608,supervised_bat_2019-07-08_18-18-55uvo4b43l",80049502000000000000004e2e,3,,0,2,608,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,109,80049502000000000000004e2e,127,,,,,,,perform_trial,,61e79994,,True
39,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"40_dropout=0,hidden_size=5,l1_reg=4.1065e-10,l2_reg=0.004275,num_layers=2,opt_batch_per_epoch=521,supervised_batch_size=87,target_rollouts_per_epoch=136",[],80049502000000000000004e2e,5,[],,,,4.106468172881493e-10,0.004274969548001743,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_40_dropout=0,hidden_size=5,l1_reg=4.1065e-10,l2_reg=0.004275,num_layers=2,opt_batch_per_epoch=521,supervised_batch_s_2019-07-08_18-19-13co__ieea",80049502000000000000004e2e,3,,0,2,521,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,87,80049502000000000000004e2e,136,,,,,,,perform_trial,,851235fa,,True
40,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"41_dropout=0,hidden_size=18,l1_reg=5.7803e-09,l2_reg=6.3233e-05,num_layers=2,opt_batch_per_epoch=465,supervised_batch_size=120,target_rollouts_per_epoch=101",[],80049502000000000000004e2e,18,[],,,,5.780250263670114e-09,6.323255317791934e-05,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_41_dropout=0,hidden_size=18,l1_reg=5.7803e-09,l2_reg=6.3233e-05,num_layers=2,opt_batch_per_epoch=465,supervised_batc_2019-07-08_18-19-28w1b_utpn",80049502000000000000004e2e,3,,0,2,465,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,120,80049502000000000000004e2e,101,,,,,,,perform_trial,,8fceab54,,True
41,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.5,,,,"42_dropout=0.5,hidden_size=25,l1_reg=1.3353e-10,l2_reg=1.5597e-05,num_layers=2,opt_batch_per_epoch=258,supervised_batch_size=108,target_rollouts_per_epoch=107",[],80049502000000000000004e2e,25,[],,,,1.3353451596114236e-10,1.5597251882511515e-05,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_42_dropout=0.5,hidden_size=25,l1_reg=1.3353e-10,l2_reg=1.5597e-05,num_layers=2,opt_batch_per_epoch=258,supervised_ba_2019-07-08_20-13-25dcyokr8e",80049502000000000000004e2e,3,,0,2,258,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,108,80049502000000000000004e2e,107,,,,,,,perform_trial,,98f06984,,True
42,True,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.1,,,,"43_dropout=0.1,hidden_size=11,l1_reg=3.4276e-09,l2_reg=0.00025791,num_layers=2,opt_batch_per_epoch=292,supervised_batch_size=120,target_rollouts_per_epoch=100",[],80049502000000000000004e2e,11,[],,,,3.427595388172822e-09,0.0002579070814068652,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_43_dropout=0.1,hidden_size=11,l1_reg=3.4276e-09,l2_reg=0.00025791,num_layers=2,opt_batch_per_epoch=292,supervised_ba_2019-07-08_20-14-5408agk1au",80049502000000000000004e2e,3,,0,2,292,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,RUNNING,120,80049502000000000000004e2e,100,,,,,,,perform_trial,,83ff2596,,True
